17509445f7ec7876a114e3aac98d14f14dad2c23	Add isolated Android test APK builder and September 24 build evidence
7f4a67c055f0212ad5f8572f54c817315b18f068	docs: add file naming and format conventions
9cf45c7204d3a3f6a31a3d3765b3bf5db8439a80	Release Android 2.0 and restrict in-app updates to Android
3fe9eecf82c322ad77dfcbbfff216caec7de9a06	Record verified Android 2.0 APK and publication receipts
166da65360d33c62a4751b10738737896d51b633	fix(android): stabilize autoplay HUD and batch static scenery
b3b0b7ac405f2584b811b0841d085cf2f28b3dc6	release(android): prepare v2.0.1 verified cumulative hot update
430c1da2d8f3bedc3a64778a791ab69fdb6e87a4	docs(android): record v2.0.1 server publication and live restart checks
d6f310ac5e8fb93813ae0e82c1a74efdab195340	art: add four core hero portraits with provenance and visual QA
3a9727362862401ccb230a3cc52336b8a67bd8e3	fix(art): unify battle and codex portraits with distinct commander art
053395b3966dfba3c44397a425bd3d7e04c1fdfc	fix(art): align hero portraits with production character appearances
df359bf2de46b5404a092761241cfa0cd0a10eae	art: align supporting portraits and add native stockade icon
96a639984c155b4cda0255e3ac561ce0de0d39df	fix(art): measure legacy portrait atlas regions
0d4634419c9dd36e61815fa453bf77fe7a590dde	art: align Sun Li and Hu Sanniang portraits with mounted models
94e7c27d4362800d3a0da990f52507e25ee94741	art: align Cai Jiu and Shi Wengong portraits with current models
662fca965d9ebae36f2150f4a2a68c322c9a7eac	fix(art): use native object assets for base UI icons
89fead907ef6f153ce1eee92f6030385b1ab9496	fix(ui): align campaign object icons with scoped scene art
